description_string,description_list
"every year at the golden tennis shoe awards, patty honors local heroes who overcame challenges & lifted up those around them ✨👟","['every', 'year', 'at', 'the', 'golden', 'tennis', 'shoe', 'awards', 'patty', 'honors', 'local', 'heroes', 'who', 'overcame', 'challenges', 'lifted', 'up', 'those', 'around', 'them']"
how often does patty murray fight to protect the right toevery day.,"['how', 'often', 'does', 'patty', 'murray', 'fight', 'to', 'protect', 'the', 'right', 'toevery', 'day']"
patty murray always has and always will fight to protect a woman's right to choose.,"['patty', 'murray', 'always', 'has', 'and', 'always', 'will', 'fight', 'to', 'protect', 'a', 'womans', 'right', 'to', 'choose']"
patty murray in 1992. patty murray today. always for a woman’s right to choose.,"['patty', 'murray', 'in', 'patty', 'murray', 'today', 'always', 'for', 'a', 'womans', 'right', 'to', 'choose']"
"from the small town of bothell, wa to the u.s. senate - here's howgot her start.","['from', 'the', 'small', 'town', 'of', 'bothell', 'wa', 'to', 'the', 'us', 'senate', 'heres', 'howgot', 'her', 'start']"
the mom in tennis shoes 👟,"['the', 'mom', 'in', 'tennis', 'shoes']"
sign up today to join our team!,"['sign', 'up', 'today', 'to', 'join', 'our', 'team']"
,[]
,[]
,[]
fact: fda rigorously reviewed mifepristone research.  fiction: judges know better than public health experts.  fact: mifepristone is safe and effective. ,"['fact', 'fda', 'rigorously', 'reviewed', 'mifepristone', 'research', 'fiction', 'judges', 'know', 'better', 'than', 'public', 'health', 'experts', 'fact', 'mifepristone', 'is', 'safe', 'and', 'effective']"
"nonconsenual deepfake pornography disproportionately harms women and girls, and it’s worsening our childhood trauma crisis.comgress must take this issue seriously and advance the resources and regulations necessary to protect our students.","['nonconsenual', 'deepfake', 'pornography', 'disproportionately', 'harms', 'women', 'and', 'girls', 'and', 'its', 'worsening', 'our', 'childhood', 'trauma', 'crisiscomgress', 'must', 'take', 'this', 'issue', 'seriously', 'and', 'advance', 'the', 'resources', 'and', 'regulations', 'necessary', 'to', 'protect', 'our', 'students']"
"last year i requested audits from the ceos of the five largest u.s. banks on the racial equity pledges they made after the murder of george floyd.some steps have been taken, but not enough.","['last', 'year', 'i', 'requested', 'audits', 'from', 'the', 'ceos', 'of', 'the', 'five', 'largest', 'us', 'banks', 'on', 'the', 'racial', 'equity', 'pledges', 'they', 'made', 'after', 'the', 'murder', 'of', 'george', 'floydsome', 'steps', 'have', 'been', 'taken', 'but', 'not', 'enough']"
"’ closure of their warren street location in roxbury is a disruptive, life-threatening act of racial and economic discrimination.as a multi-billion-dollar corporation, they should put their money where their mouth is and stop divesting from black and brown communities.","['closure', 'of', 'their', 'warren', 'street', 'location', 'in', 'roxbury', 'is', 'a', 'disruptive', 'lifethreatening', 'act', 'of', 'racial', 'and', 'economic', 'discriminationas', 'a', 'multibilliondollar', 'corporation', 'they', 'should', 'put', 'their', 'money', 'where', 'their', 'mouth', 'is', 'and', 'stop', 'divesting', 'from', 'black', 'and', 'brown', 'communities']"
i rallied with hundreds of advocates from across the country to make it plain:immigrants are people. asylum is a human right. and migrants are not bargaining chips.,"['i', 'rallied', 'with', 'hundreds', 'of', 'advocates', 'from', 'across', 'the', 'country', 'to', 'make', 'it', 'plainimmigrants', 'are', 'people', 'asylum', 'is', 'a', 'human', 'right', 'and', 'migrants', 'are', 'not', 'bargaining', 'chips']"
"rep. bowman is a champion for students, a lifelong educator, a duly elected member of congress, and a strong black man.this censure is just the latest in this chamber’s racist history of telling black and brown folks they don’t belong here.","['rep', 'bowman', 'is', 'a', 'champion', 'for', 'students', 'a', 'lifelong', 'educator', 'a', 'duly', 'elected', 'member', 'of', 'congress', 'and', 'a', 'strong', 'black', 'manthis', 'censure', 'is', 'just', 'the', 'latest', 'in', 'this', 'chambers', 'racist', 'history', 'of', 'telling', 'black', 'and', 'brown', 'folks', 'they', 'dont', 'belong', 'here']"
"we’ve now lost over 11,000 palestinian and 1,200 israeli loved ones.i stood with a coalition of rabbis to make it plain:we are one human family, and we have a collective, righteous mandate to save lives.","['weve', 'now', 'lost', 'over', 'palestinian', 'and', 'israeli', 'loved', 'onesi', 'stood', 'with', 'a', 'coalition', 'of', 'rabbis', 'to', 'make', 'it', 'plainwe', 'are', 'one', 'human', 'family', 'and', 'we', 'have', 'a', 'collective', 'righteous', 'mandate', 'to', 'save', 'lives']"
—the only palestinian-american in congress—is a much-needed voice in an institution that too often fails to listen.so it's no surprise republicans want to police her & distract from their hateful policies.,"['the', 'only', 'palestinianamerican', 'in', 'congressis', 'a', 'muchneeded', 'voice', 'in', 'an', 'institution', 'that', 'too', 'often', 'fails', 'to', 'listenso', 'its', 'no', 'surprise', 'republicans', 'want', 'to', 'police', 'her', 'distract', 'from', 'their', 'hateful', 'policies']"
"as a woman of faith, i see this plainly:saving civilian lives—including israeli & american hostages and the palestinians trapped in gaza—must be the priority.","['as', 'a', 'woman', 'of', 'faith', 'i', 'see', 'this', 'plainlysaving', 'civilian', 'livesincluding', 'israeli', 'american', 'hostages', 'and', 'the', 'palestinians', 'trapped', 'in', 'gazamust', 'be', 'the', 'priority']"
"republicans can't govern.they can't pass their harmful and unpopular agenda, so they play cruel games that hurt our most vulnerable.democrats are united, focused on the people, and ready to keep our government open.","['republicans', 'cant', 'governthey', 'cant', 'pass', 'their', 'harmful', 'and', 'unpopular', 'agenda', 'so', 'they', 'play', 'cruel', 'games', 'that', 'hurt', 'our', 'most', 'vulnerabledemocrats', 'are', 'united', 'focused', 'on', 'the', 'people', 'and', 'ready', 'to', 'keep', 'our', 'government', 'open']"
,[]
student loan borrowers demand and deserve relief.,"['student', 'loan', 'borrowers', 'demand', 'and', 'deserve', 'relief']"
"black people in america have been systematically stripped of our wealth, and to this day, face barriers to programs that promote homeownership and higher education.","['black', 'people', 'in', 'america', 'have', 'been', 'systematically', 'stripped', 'of', 'our', 'wealth', 'and', 'to', 'this', 'day', 'face', 'barriers', 'to', 'programs', 'that', 'promote', 'homeownership', 'and', 'higher', 'education']"
"republicans wants us to make an impossible choice:extreme cuts to life-saving programs, or a catastrophic default on our debt—both of which would impact our most vulnerable.","['republicans', 'wants', 'us', 'to', 'make', 'an', 'impossible', 'choiceextreme', 'cuts', 'to', 'lifesaving', 'programs', 'or', 'a', 'catastrophic', 'default', 'on', 'our', 'debtboth', 'of', 'which', 'would', 'impact', 'our', 'most', 'vulnerable']"
"here’s the 🍵: republicans are threatening a default on our national debt unless we agree to make deep, harmful budget cuts that would harm millions of people.","['heres', 'the', 'republicans', 'are', 'threatening', 'a', 'default', 'on', 'our', 'national', 'debt', 'unless', 'we', 'agree', 'to', 'make', 'deep', 'harmful', 'budget', 'cuts', 'that', 'would', 'harm', 'millions', 'of', 'people']"
"despite almost wrecking our economy & driving svb into the ground, greg becker continues to earn millions.we can’t let greedy bank ceos “fail up” while folks in the massachusetts 7th suffer.","['despite', 'almost', 'wrecking', 'our', 'economy', 'driving', 'svb', 'into', 'the', 'ground', 'greg', 'becker', 'continues', 'to', 'earn', 'millionswe', 'cant', 'let', 'greedy', 'bank', 'ceos', 'fail', 'up', 'while', 'folks', 'in', 'the', 'massachusetts', 'th', 'suffer']"
the bank failures we’ve seen prove that bank executives aren’t making decisions in the best interest of the people.proposals like awould yield accountability and give the american public a seat at the table.,"['the', 'bank', 'failures', 'weve', 'seen', 'prove', 'that', 'bank', 'executives', 'arent', 'making', 'decisions', 'in', 'the', 'best', 'interest', 'of', 'the', 'peopleproposals', 'like', 'awould', 'yield', 'accountability', 'and', 'give', 'the', 'american', 'public', 'a', 'seat', 'at', 'the', 'table']"
"birth control empowers us to protect our health, plan when & how to grow a family, and determine our future.the fda must make birth control available over the counter without delay.","['birth', 'control', 'empowers', 'us', 'to', 'protect', 'our', 'health', 'plan', 'when', 'how', 'to', 'grow', 'a', 'family', 'and', 'determine', 'our', 'futurethe', 'fda', 'must', 'make', 'birth', 'control', 'available', 'over', 'the', 'counter', 'without', 'delay']"
"to our trans kids:you belong.you are enough.you deserve joy & opportunity.you are perfect, and i will always be in your corner.shame on republicans targeting our trans youth.","['to', 'our', 'trans', 'kidsyou', 'belongyou', 'are', 'enoughyou', 'deserve', 'joy', 'opportunityyou', 'are', 'perfect', 'and', 'i', 'will', 'always', 'be', 'in', 'your', 'cornershame', 'on', 'republicans', 'targeting', 'our', 'trans', 'youth']"
"our broken credit reporting system has perpetuated inequities, including for trans & nonbinary folks.this, i'm introducing a bill to make credit reporting more inclusive for trans folks who legally change their names.","['our', 'broken', 'credit', 'reporting', 'system', 'has', 'perpetuated', 'inequities', 'including', 'for', 'trans', 'nonbinary', 'folksthis', 'im', 'introducing', 'a', 'bill', 'to', 'make', 'credit', 'reporting', 'more', 'inclusive', 'for', 'trans', 'folks', 'who', 'legally', 'change', 'their', 'names']"
the story of’s collpase is one of republican lawmakers working with their banks to weaken regulations.but it’s also a story of regulators’ failure to do their number one job: regulate banks.,"['the', 'story', 'ofs', 'collpase', 'is', 'one', 'of', 'republican', 'lawmakers', 'working', 'with', 'their', 'banks', 'to', 'weaken', 'regulationsbut', 'its', 'also', 'a', 'story', 'of', 'regulators', 'failure', 'to', 'do', 'their', 'number', 'one', 'job', 'regulate', 'banks']"
today we’re launching the first-ever congressional equal rights amendment caucus to move the era forward because equality is overdue.,"['today', 'were', 'launching', 'the', 'firstever', 'congressional', 'equal', 'rights', 'amendment', 'caucus', 'to', 'move', 'the', 'era', 'forward', 'because', 'equality', 'is', 'overdue']"
here’s the 🍵 this week: we rallied outside the supreme court with advocates & borrowers to make it plain: the president has the authority to,"['heres', 'the', 'this', 'week', 'we', 'rallied', 'outside', 'the', 'supreme', 'court', 'with', 'advocates', 'borrowers', 'to', 'make', 'it', 'plain', 'the', 'president', 'has', 'the', 'authority', 'to']"
"the federal reserve continues to raise interest rates, risking a recession & millions of jobs.this falls hardest on our most vulnerable. chairman powell should reverse course immediately.","['the', 'federal', 'reserve', 'continues', 'to', 'raise', 'interest', 'rates', 'risking', 'a', 'recession', 'millions', 'of', 'jobsthis', 'falls', 'hardest', 'on', 'our', 'most', 'vulnerable', 'chairman', 'powell', 'should', 'reverse', 'course', 'immediately']"
"republicans are still playing games, y'all. here’s the 🍵 on committee assignments and another week in the 118th congress.","['republicans', 'are', 'still', 'playing', 'games', 'yall', 'heres', 'the', 'on', 'committee', 'assignments', 'and', 'another', 'week', 'in', 'the', 'th', 'congress']"
let our educators be educators.not social workers.not psychotherapists.not nurses.the best way to support our students is by supporting our educators.,"['let', 'our', 'educators', 'be', 'educatorsnot', 'social', 'workersnot', 'psychotherapistsnot', 'nursesthe', 'best', 'way', 'to', 'support', 'our', 'students', 'is', 'by', 'supporting', 'our', 'educators']"
"the embrace memorial is a reflection of martin & coretta’s love—& their bold vision for revolutionary change.it’s also a reminder of the work that remains to build a world that centers justice, equity & our collective liberation.","['the', 'embrace', 'memorial', 'is', 'a', 'reflection', 'of', 'martin', 'corettas', 'love', 'their', 'bold', 'vision', 'for', 'revolutionary', 'changeits', 'also', 'a', 'reminder', 'of', 'the', 'work', 'that', 'remains', 'to', 'build', 'a', 'world', 'that', 'centers', 'justice', 'equity', 'our', 'collective', 'liberation']"
"here’s the 🍵 on week 2 of the 118th congress:republicans are already advancing their harmful agenda that is anti-worker, anti-immigrant, anti-woman, and anti-american. but i’m ready to fight back.","['heres', 'the', 'on', 'week', 'of', 'the', 'th', 'congressrepublicans', 'are', 'already', 'advancing', 'their', 'harmful', 'agenda', 'that', 'is', 'antiworker', 'antiimmigrant', 'antiwoman', 'and', 'antiamerican', 'but', 'im', 'ready', 'to', 'fight', 'back']"
thank you mr. president 🙏🏾,"['thank', 'you', 'mr', 'president']"
we will reduce flood damage by being proactive.,"['we', 'will', 'reduce', 'flood', 'damage', 'by', 'being', 'proactive']"
yikes.,['yikes']
we will bring down crime by bringing all agencies together.,"['we', 'will', 'bring', 'down', 'crime', 'by', 'bringing', 'all', 'agencies', 'together']"
i have always opposed the idea of a hisd takeover. john whitmire on the other hand supported it.,"['i', 'have', 'always', 'opposed', 'the', 'idea', 'of', 'a', 'hisd', 'takeover', 'john', 'whitmire', 'on', 'the', 'other', 'hand', 'supported', 'it']"
🗣️ mayor turner,"['mayor', 'turner']"
🍔🍟,[]
you all know i like chris tucker 😂,"['you', 'all', 'know', 'i', 'like', 'chris', 'tucker']"
thank you city wide club super feast 💪🏾💪🏾,"['thank', 'you', 'city', 'wide', 'club', 'super', 'feast']"
💃🏾🕺🏾,[]
sending more turkeys down to the super feast! 🦃🦃,"['sending', 'more', 'turkeys', 'down', 'to', 'the', 'super', 'feast']"
❤️,[]
it has been hard these last few years — glad we were able to help some families not have to pay for thanksgiving turkey this year!,"['it', 'has', 'been', 'hard', 'these', 'last', 'few', 'years', 'glad', 'we', 'were', 'able', 'to', 'help', 'some', 'families', 'not', 'have', 'to', 'pay', 'for', 'thanksgiving', 'turkey', 'this', 'year']"
we have been on the front lines together for a long time — thank you johnny mata for your support. let’s do this!,"['we', 'have', 'been', 'on', 'the', 'front', 'lines', 'together', 'for', 'a', 'long', 'time', 'thank', 'you', 'johnny', 'mata', 'for', 'your', 'support', 'lets', 'do', 'this']"
this is the pro-rail decade in the city of houston.,"['this', 'is', 'the', 'prorail', 'decade', 'in', 'the', 'city', 'of', 'houston']"
the choice is clear.,"['the', 'choice', 'is', 'clear']"
ready to roll 🤝🏾 @sylvesterturner,"['ready', 'to', 'roll', 'sylvesterturner']"
"houston, let’s do this.","['houston', 'lets', 'do', 'this']"
a day of zydeco in houston! i am a “washboard” girl!,"['a', 'day', 'of', 'zydeco', 'in', 'houston', 'i', 'am', 'a', 'washboard', 'girl']"
we have fun over here 😎,"['we', 'have', 'fun', 'over', 'here']"
"neighborhood by neighborhood, we are building a movement to lead houston into the future 🚀","['neighborhood', 'by', 'neighborhood', 'we', 'are', 'building', 'a', 'movement', 'to', 'lead', 'houston', 'into', 'the', 'future']"
you have seen me during every national disaster — i know how we can do better.,"['you', 'have', 'seen', 'me', 'during', 'every', 'national', 'disaster', 'i', 'know', 'how', 'we', 'can', 'do', 'better']"
this is what houston is about 🥁🥁🥁,"['this', 'is', 'what', 'houston', 'is', 'about']"
"this isn’t just a campaign, it’s a movement 🚀","['this', 'isnt', 'just', 'a', 'campaign', 'its', 'a', 'movement']"
this is a fight we will win.,"['this', 'is', 'a', 'fight', 'we', 'will', 'win']"
i will never stop fighting for the people of this city.,"['i', 'will', 'never', 'stop', 'fighting', 'for', 'the', 'people', 'of', 'this', 'city']"
city hall must always reflect our values.,"['city', 'hall', 'must', 'always', 'reflect', 'our', 'values']"
"together, we will grow our economy with a spirit of optimism.","['together', 'we', 'will', 'grow', 'our', 'economy', 'with', 'a', 'spirit', 'of', 'optimism']"
we will get the job done on city finances.was great chatting with my friends over at central houston inc. tonight about our plans for houston’s economic prosperity. ready to get to work.,"['we', 'will', 'get', 'the', 'job', 'done', 'on', 'city', 'financeswas', 'great', 'chatting', 'with', 'my', 'friends', 'over', 'at', 'central', 'houston', 'inc', 'tonight', 'about', 'our', 'plans', 'for', 'houstons', 'economic', 'prosperity', 'ready', 'to', 'get', 'to', 'work']"
"thank you, beto 😎","['thank', 'you', 'beto']"
*officially* on the ballot. 😎,"['officially', 'on', 'the', 'ballot']"
let’s take this city into the future 🚀,"['lets', 'take', 'this', 'city', 'into', 'the', 'future']"
houston will become a leader for our emphasis on mental health.,"['houston', 'will', 'become', 'a', 'leader', 'for', 'our', 'emphasis', 'on', 'mental', 'health']"
business and government working together to expand opportunity — that’s how we will build a shining houston that pioneers into the future.,"['business', 'and', 'government', 'working', 'together', 'to', 'expand', 'opportunity', 'thats', 'how', 'we', 'will', 'build', 'a', 'shining', 'houston', 'that', 'pioneers', 'into', 'the', 'future']"
thank you to the caucus ❤️,"['thank', 'you', 'to', 'the', 'caucus']"
"as houston strides into the future, we will be proactive in securing federal funding for projects aimed at reducing the risk of flooding.","['as', 'houston', 'strides', 'into', 'the', 'future', 'we', 'will', 'be', 'proactive', 'in', 'securing', 'federal', 'funding', 'for', 'projects', 'aimed', 'at', 'reducing', 'the', 'risk', 'of', 'flooding']"
i *really* love parks.,"['i', 'really', 'love', 'parks']"
"as houston’s economy pioneers into the future, we must foster an environment where we embrace new industries and make job trainings more accessible.","['as', 'houstons', 'economy', 'pioneers', 'into', 'the', 'future', 'we', 'must', 'foster', 'an', 'environment', 'where', 'we', 'embrace', 'new', 'industries', 'and', 'make', 'job', 'trainings', 'more', 'accessible']"
the cost to put a roof over your head rising too fast. bringing more affordable housing options to houston will be imperative as we venture into the future.,"['the', 'cost', 'to', 'put', 'a', 'roof', 'over', 'your', 'head', 'rising', 'too', 'fast', 'bringing', 'more', 'affordable', 'housing', 'options', 'to', 'houston', 'will', 'be', 'imperative', 'as', 'we', 'venture', 'into', 'the', 'future']"
"leading starts with listening. whether it is at city hall, out in the community, or right here on social media, i will be a mayor that you can reach.","['leading', 'starts', 'with', 'listening', 'whether', 'it', 'is', 'at', 'city', 'hall', 'out', 'in', 'the', 'community', 'or', 'right', 'here', 'on', 'social', 'media', 'i', 'will', 'be', 'a', 'mayor', 'that', 'you', 'can', 'reach']"
"libraries are reading centers, not detention centers.","['libraries', 'are', 'reading', 'centers', 'not', 'detention', 'centers']"
this is “what houston is all about”! i had the opprotunity to join keyun & the zydeco masters on the washboard creating some #zusic! #h,"['this', 'is', 'what', 'houston', 'is', 'all', 'about', 'i', 'had', 'the', 'opprotunity', 'to', 'join', 'keyun', 'the', 'zydeco', 'masters', 'on', 'the', 'washboard', 'creating', 'some', 'zusic', 'h']"
an investment in our children is an investment in our future.,"['an', 'investment', 'in', 'our', 'children', 'is', 'an', 'investment', 'in', 'our', 'future']"
come take the journey with me into the future 🚀,"['come', 'take', 'the', 'journey', 'with', 'me', 'into', 'the', 'future']"
"we will build on the work done to tackle violent crime by bringing everyone together — city, county, and federal. collaboration is how we become more efficient and keep our communities safer.","['we', 'will', 'build', 'on', 'the', 'work', 'done', 'to', 'tackle', 'violent', 'crime', 'by', 'bringing', 'everyone', 'together', 'city', 'county', 'and', 'federal', 'collaboration', 'is', 'how', 'we', 'become', 'more', 'efficient', 'and', 'keep', 'our', 'communities', 'safer']"
"happy 4th of july from freedom over texas in houston, texas","['happy', 'th', 'of', 'july', 'from', 'freedom', 'over', 'texas', 'in', 'houston', 'texas']"
houston will always be a city filled with pride for the love we share.,"['houston', 'will', 'always', 'be', 'a', 'city', 'filled', 'with', 'pride', 'for', 'the', 'love', 'we', 'share']"
love will always win in this city.,"['love', 'will', 'always', 'win', 'in', 'this', 'city']"
there’s no limit to what we can do when we work together.,"['theres', 'no', 'limit', 'to', 'what', 'we', 'can', 'do', 'when', 'we', 'work', 'together']"
my name is sheila jackson lee and i’m running for mayor because houstonians deserve the promise of america.will you share our message and join me in fighting for the future that houston deserves?,"['my', 'name', 'is', 'sheila', 'jackson', 'lee', 'and', 'im', 'running', 'for', 'mayor', 'because', 'houstonians', 'deserve', 'the', 'promise', 'of', 'americawill', 'you', 'share', 'our', 'message', 'and', 'join', 'me', 'in', 'fighting', 'for', 'the', 'future', 'that', 'houston', 'deserves']"
our art community tells the story of our diversity — houston pops!,"['our', 'art', 'community', 'tells', 'the', 'story', 'of', 'our', 'diversity', 'houston', 'pops']"
“we’re at an inflection point” - ginny goldman,"['were', 'at', 'an', 'inflection', 'point', 'ginny', 'goldman']"
"together, we’re building a city of hope for every generation.","['together', 'were', 'building', 'a', 'city', 'of', 'hope', 'for', 'every', 'generation']"
"happening today: join us from 2-4 for our campaign office grand opening!📍4615 southwest fwy, ste 142","['happening', 'today', 'join', 'us', 'from', 'for', 'our', 'campaign', 'office', 'grand', 'opening', 'southwest', 'fwy', 'ste']"
forever humbled to be in this fight — lets get to work.,"['forever', 'humbled', 'to', 'be', 'in', 'this', 'fight', 'lets', 'get', 'to', 'work']"
"we are all tired of being hurt and devastated.i am horrified of another mass shooting in this state and in our nation. i am very grateful for the law enforcement officer that took down the killer and saved lives. as we pray for the families in allen, texas we must insist on action by the state and the nation on stopping easy access of guns by violent people who have attacked our schools, houses of worship, our shopping malls, parades and more.","['we', 'are', 'all', 'tired', 'of', 'being', 'hurt', 'and', 'devastatedi', 'am', 'horrified', 'of', 'another', 'mass', 'shooting', 'in', 'this', 'state', 'and', 'in', 'our', 'nation', 'i', 'am', 'very', 'grateful', 'for', 'the', 'law', 'enforcement', 'officer', 'that', 'took', 'down', 'the', 'killer', 'and', 'saved', 'lives', 'as', 'we', 'pray', 'for', 'the', 'families', 'in', 'allen', 'texas', 'we', 'must', 'insist', 'on', 'action', 'by', 'the', 'state', 'and', 'the', 'nation', 'on', 'stopping', 'easy', 'access', 'of', 'guns', 'by', 'violent', 'people', 'who', 'have', 'attacked', 'our', 'schools', 'houses', 'of', 'worship', 'our', 'shopping', 'malls', 'parades', 'and', 'more']"
i will never stop fighting for expanded access to mammograms.,"['i', 'will', 'never', 'stop', 'fighting', 'for', 'expanded', 'access', 'to', 'mammograms']"
had to get my steps in.,"['had', 'to', 'get', 'my', 'steps', 'in']"
"it's official! i have launched my campaign for mayor of the city of houston! if we build and do it together, walk together, lift together, and if we are together, i can and will be your next mayor!","['its', 'official', 'i', 'have', 'launched', 'my', 'campaign', 'for', 'mayor', 'of', 'the', 'city', 'of', 'houston', 'if', 'we', 'build', 'and', 'do', 'it', 'together', 'walk', 'together', 'lift', 'together', 'and', 'if', 'we', 'are', 'together', 'i', 'can', 'and', 'will', 'be', 'your', 'next', 'mayor']"
let’s talk about this hisd takeover.,"['lets', 'talk', 'about', 'this', 'hisd', 'takeover']"
"enjoyed visiting with my new colleague,","['enjoyed', 'visiting', 'with', 'my', 'new', 'colleague']"
sharing some thanksgiving joy with seniors at the judson robinson community center before giving out turkeys and pies in the pleasantville community!,"['sharing', 'some', 'thanksgiving', 'joy', 'with', 'seniors', 'at', 'the', 'judson', 'robinson', 'community', 'center', 'before', 'giving', 'out', 'turkeys', 'and', 'pies', 'in', 'the', 'pleasantville', 'community']"
"together, we can stop animal abuse.","['together', 'we', 'can', 'stop', 'animal', 'abuse']"
i’ll fight to keep illegal guns off the street.,"['ill', 'fight', 'to', 'keep', 'illegal', 'guns', 'off', 'the', 'street']"
election day should be a federal holiday.,"['election', 'day', 'should', 'be', 'a', 'federal', 'holiday']"
add me to the band 👀,"['add', 'me', 'to', 'the', 'band']"
happy hispanic heritage month!,"['happy', 'hispanic', 'heritage', 'month']"
i’m fed up.###,"['im', 'fed', 'up']"
"i’m focused on delivering results that transform lives; as the sponsor of the violence against women act, i can proudly say that this bill does exactly that.","['im', 'focused', 'on', 'delivering', 'results', 'that', 'transform', 'lives', 'as', 'the', 'sponsor', 'of', 'the', 'violence', 'against', 'women', 'act', 'i', 'can', 'proudly', 'say', 'that', 'this', 'bill', 'does', 'exactly', 'that']"
great day for america 🇺🇸,"['great', 'day', 'for', 'america']"
"cheaper prescription drugs, cheaper energy, bringing down inflation - that’s a reason to celebrate.","['cheaper', 'prescription', 'drugs', 'cheaper', 'energy', 'bringing', 'down', 'inflation', 'thats', 'a', 'reason', 'to', 'celebrate']"
why are we running away from this style weapon being unnecessary on the streets of america?,"['why', 'are', 'we', 'running', 'away', 'from', 'this', 'style', 'weapon', 'being', 'unnecessary', 'on', 'the', 'streets', 'of', 'america']"
we shall overcome these voter suppression bills.,"['we', 'shall', 'overcome', 'these', 'voter', 'suppression', 'bills']"
a lot of wins this week - let’s dance!,"['a', 'lot', 'of', 'wins', 'this', 'week', 'lets', 'dance']"
we are not going back.,"['we', 'are', 'not', 'going', 'back']"
always fighting for america’s working families 🇺🇸,"['always', 'fighting', 'for', 'americas', 'working', 'families']"
democracy is on the ballot.,"['democracy', 'is', 'on', 'the', 'ballot']"
great day for america 🇺🇸 thank you president biden!,"['great', 'day', 'for', 'america', 'thank', 'you', 'president', 'biden']"
gun responsibility.,"['gun', 'responsibility']"
"post roe, you know what states rights are? the denial of civil rights.","['post', 'roe', 'you', 'know', 'what', 'states', 'rights', 'are', 'the', 'denial', 'of', 'civil', 'rights']"
"together, we’re marching forward to election day!!","['together', 'were', 'marching', 'forward', 'to', 'election', 'day']"
reproductive freedom is on the ballot this november.,"['reproductive', 'freedom', 'is', 'on', 'the', 'ballot', 'this', 'november']"
join the journey!,"['join', 'the', 'journey']"
2022 has been one of my most productive years in congress ever. here's just a few of the victories i'm proudest of.,"['has', 'been', 'one', 'of', 'my', 'most', 'productive', 'years', 'in', 'congress', 'ever', 'heres', 'just', 'a', 'few', 'of', 'the', 'victories', 'im', 'proudest', 'of']"
"love is protected. thank you, president biden! theact is now law! ✍️","['love', 'is', 'protected', 'thank', 'you', 'president', 'biden', 'theact', 'is', 'now', 'law']"
i sat down with chris evans to answer your questions about how we're making sure that our veterans get the health care they have earned and deserve.,"['i', 'sat', 'down', 'with', 'chris', 'evans', 'to', 'answer', 'your', 'questions', 'about', 'how', 'were', 'making', 'sure', 'that', 'our', 'veterans', 'get', 'the', 'health', 'care', 'they', 'have', 'earned', 'and', 'deserve']"
"when mergers create a near-total monopoly over the market, consumers pay the price.","['when', 'mergers', 'create', 'a', 'neartotal', 'monopoly', 'over', 'the', 'market', 'consumers', 'pay', 'the', 'price']"
"have you voted yet? if not, go vote!","['have', 'you', 'voted', 'yet', 'if', 'not', 'go', 'vote']"
election day is this tuesday. go to iwillvote.com and make your plan to vote now.,"['election', 'day', 'is', 'this', 'tuesday', 'go', 'to', 'iwillvotecom', 'and', 'make', 'your', 'plan', 'to', 'vote', 'now']"
"election day is this tuesday! go to iwillvote.com, make a plan, and go vote! maple will be sad if you don't. 🥺","['election', 'day', 'is', 'this', 'tuesday', 'go', 'to', 'iwillvotecom', 'make', 'a', 'plan', 'and', 'go', 'vote', 'maple', 'will', 'be', 'sad', 'if', 'you', 'dont']"
everything that we care about is at stake in these midterm elections. ,"['everything', 'that', 'we', 'care', 'about', 'is', 'at', 'stake', 'in', 'these', 'midterm', 'elections']"
withwatch the video i duetted to see my full interview withon.,"['withwatch', 'the', 'video', 'i', 'duetted', 'to', 'see', 'my', 'full', 'interview', 'withon']"
"you probably haven't even heard about the most powerful part of president biden'splan, but it can break the cycle of debt.","['you', 'probably', 'havent', 'even', 'heard', 'about', 'the', 'most', 'powerful', 'part', 'of', 'president', 'bidensplan', 'but', 'it', 'can', 'break', 'the', 'cycle', 'of', 'debt']"
"overturningwill have far-reaching impacts on the basic, fundamental rights we take for granted. this is the fight of our lives.","['overturningwill', 'have', 'farreaching', 'impacts', 'on', 'the', 'basic', 'fundamental', 'rights', 'we', 'take', 'for', 'granted', 'this', 'is', 'the', 'fight', 'of', 'our', 'lives']"
"every year, the women of congress play softball against the women of the dc press to raise money to. this year, team congress finally won!","['every', 'year', 'the', 'women', 'of', 'congress', 'play', 'softball', 'against', 'the', 'women', 'of', 'the', 'dc', 'press', 'to', 'raise', 'money', 'to', 'this', 'year', 'team', 'congress', 'finally', 'won']"
senate republicans just introduced a national abortion ban. we can't let them take our freedoms away. vote blue up and down the ballot this november.,"['senate', 'republicans', 'just', 'introduced', 'a', 'national', 'abortion', 'ban', 'we', 'cant', 'let', 'them', 'take', 'our', 'freedoms', 'away', 'vote', 'blue', 'up', 'and', 'down', 'the', 'ballot', 'this', 'november']"
overturningoverturned your constitutional right to privacy — and that will limit your freedom in ways you may not even realize yet.,"['overturningoverturned', 'your', 'constitutional', 'right', 'to', 'privacy', 'and', 'that', 'will', 'limit', 'your', 'freedom', 'in', 'ways', 'you', 'may', 'not', 'even', 'realize', 'yet']"
"if you're having fun this, thank a union.","['if', 'youre', 'having', 'fun', 'this', 'thank', 'a', 'union']"
🥊 crushing it 🥊,"['crushing', 'it']"
it was a good news day with!,"['it', 'was', 'a', 'good', 'news', 'day', 'with']"
